,,
Performance,Requirement,Excerpt
,Monitoring device data should be available for visualisation or alerting within less than 1 second,"It then sends the data to a consolidated monitoring screen (per nurses station)
with an average response time of 1 second or less. "
,Each nerse station should handle monitoring data fro up to 20 patients, There is a maximum of 20 patients per nurses station.
,Maximum number of patients per physical MonitorMe instance: 500,direct quote
Robustness/Fault tolerance,Requirement,Excerpt
,System should display monitoring data withregardless on any particular device availability,"If any of vital sign device (or software) fails, MonitorMe must still function for other vital sign monitoring
(monitor, record, analyze, and alert)."
Scalability,Requirement,Excerpt
,New vital sign sources (monitoring devices) should be easily added/configured by Medical staff,"StayHealthy, Inc. is looking towards adding more vital sign monitoring devices for MonitorMe in the future."
Reliability,Requirement,Excerpt
,Monitoring data should not be corrupted by the system during processing and should have precise cohesion to the coupled data managed by other system.,"Vital sign data analyzed and recorded through MonitorMe must be as accurate as possible. After all, human
lives are at stake."
Extencibility,Requirement,Excerpt
,New pieces of functionality should be easily added,"As this is a new line of business for StayHealthy, they expect a lot of change as they learn more about this
new market."
Security/Provacy,Requirement,Excerpt
,"Patient related data should not be available for the audience which it is not intended to.
Managed data should be complient with the ","StayHealthy, Inc. has always taken patient confidentially seriously. MonitorMe should be no exception to this
rule. While patient monitoring data must be secure, MonitorMe does not have to meet any government
regulatory requirements (e.g., HIPPA)."
,,
,,
,,
AC worksheet,https://www.developertoarchitect.com/lessons/lesson112.html,
,,
AC theory,https://learning.oreilly.com/live-events/software-architecture-characteristics-defining-discovering-and-protecting-architecture/0636920282488/0636920091722/,
Consider others from the list,https://learning.oreilly.com/library/view/fundamentals-of-software/9781492043447/ch04.html#idm45838980488160,
